,Autobahn,Standort,Richtung,Art,Fluss,Energiebedarf,pXi_dir,pE_charged_0,pE_input_0,pE_output_0,Fluss_0,Energiebedarf_0,pE_charged_1,pE_input_1,pE_output_1,Fluss_1,Energiebedarf_1,total_number_charging_poles
'St. Johann/Süd','A02',113.05,1.0,2.0,16777.3,25333.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.69869999999986,151.69979999999987,16777.3,25333.7,0.0
'Bad Blumau','A02',134.06,1.0,1.0,18332.6,77033.5,1.0,0.0,0.0,0.0,0.0,0.0,382.8002999999999,151.69979999999987,0.0,18332.6,77033.5,1.0
'Arnwiesen','A02',154.1,2.0,0.0,20369.5,81640.8,1.0,0.0,0.0,0.0,0.0,0.0,244.9224,0.0,0.0,20369.5,81640.8,2.0
'Laßnitzhöhe Süd','A02',170.65,1.0,1.0,30600.0,101286.0,1.0,0.0,0.0,0.0,0.0,0.0,303.858,0.0,0.0,30600.0,101286.0,1.0
'Kaiserwald','A02',190.77,2.0,0.0,22840.5,91910.2,1.0,0.0,0.0,0.0,0.0,0.0,112.11879206896549,0.0,163.6118079310345,22840.5,91910.2,2.0
'Herzogberg Süd','A02',220.19,1.0,1.0,9308.4,54770.8,1.0,0.0,0.0,0.0,0.0,0.0,327.9242079310345,163.6118079310345,0.0,9308.4,54770.8,1.0
'Pack','A02',235.21,2.0,0.0,9308.4,27962.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8875,9308.4,27962.5,1.0
'Twimberg Süd','A02',242.34,1.0,2.0,10828.0,15440.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8875,130.2099,10828.0,15440.8,0.0
'Fischering','A02',259.85,1.0,2.0,11825.6,41413.2,1.0,0.0,0.0,0.0,0.0,0.0,254.4495,130.2099,0.0,11825.6,41413.2,1.0
'Gönitz/Süd','A02',268.86,1.0,2.0,12462.4,22457.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3716,12462.4,22457.2,0.0
'Völkermarkt','A02',285.09,2.0,0.0,11509.8,37360.9,1.0,0.0,0.0,0.0,0.0,0.0,179.4543,67.3716,0.0,11509.8,37360.9,1.0
'Grafenstein Süd','A02',300.0,1.0,1.0,14085.0,42001.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.00420000000001,14085.0,42001.4,0.0
'Karawankenblick/Süd','A02',333.84,1.0,2.0,19951.9,135034.4,1.0,0.0,0.0,0.0,0.0,0.0,400.0,126.00420000000001,131.10740000000004,19951.9,135034.4,1.0
'Wörthersee','A02',340.13,2.0,0.0,19619.1,24680.8,1.0,0.0,0.0,0.0,0.0,0.0,205.14980000000003,131.10740000000004,0.0,19619.1,24680.8,2.0
'Sternberg/Süd','A02',349.01,1.0,2.0,19182.8,34068.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2058,19182.8,34068.6,0.0
'Federaun/Süd','A02',362.78,1.0,2.0,16681.9,45942.0,1.0,0.0,0.0,0.0,0.0,0.0,145.52709206896546,102.2058,94.50470793103453,16681.9,45942.0,1.0
